OBJECTID,landscape position,drainage_association,ridge,mortality,prefire,mortality_qual,canopy_loss_success,canopy_loss_failure,tc_mortality,postfire_canopy,postfire,Change_in_canopy_success,Change_in_canopy_failure,Change_Qualitative,high_mortality,no_mortality,postfire_success,postfire_failure,centroid_l,Shape_Leng,Shape_Area,area_scaled,random_sor,all_environment_variables.1,all_environment_variables.2,all_environment_variables.3,all_environment_variables.4,all_environment_variables.5,all_environment_variables.6,all_environment_variables.7,aspect,dem_10m_zaca,flow_accumulation,sr,sr_new,rain,slope,tmax,tmax_scaled,tmean,tmin,TPI_five,TPI_queen,TWI,fri,dem_scaled,insolation_scaled,tmean_scaled,southness,precip,cwd,ndvi,rdnbr_2007,vpd_aug,vpd_jan,dnbr_2007,ndmi_2006
1,,N,Y,75,25_75,High,750,250,0,1_25,Low,250,750,Low,0,,125,875,"34.6906319327479, -119.658994826856",799.9984383,14400.0139,14.4000139,0.346516,1961.869305,1520850.297,1202.660034,0.70793639,0.271263382,4.49467304,74,87.38301207,1961.869305,2.639455782,1520850.297,152.0850297,1202.660034,21.3106754,27.26000023,2.726000023,12.15999985,0.75,0.707936397,0.271263382,4.49467304,74,1.961869305,15.20850297,1.215999985,92.61698793,12.02660034,728.0248901,0.57681142,1140.021484,25.05813726,7.84871343,0.836865254,0.285893405
4,US ,A,N,0,25_75,None,0,1000,0,25_75,Moderate,0,1000,None,0,,500,500,"34.6904370967104, -119.589034421761",410.0004195,4350.003347,4.350003347,0.665683,1893.705846,1172831.943,1050.25,-0.782921007,-0.313165961,4.705072514,74,60.13862729,1893.705846,17.91111111,1172831.943,117.2831943,1050.25,37.27333722,28.60000038,2.860000038,12.42000008,0.100000001,-0.782921007,-0.313165961,4.705072514,74,1.893705846,11.72831943,1.242000008,119.8613727,10.5025,789.9271444,0.600317106,374.5410563,30.09116522,8.65231959,0.273741953,0.270645844
5,,A,N,0,1_25,None,0,1000,0,1_25,Low,0,1000,None,0,,125,875,"34.6904392028777, -119.587874897731",939.999446,13925.00502,13.92500502,0.43555,1780.741321,1276686.12,1074.772172,-0.89342638,-0.341997133,5.60356043,74,85.51258511,1780.741321,64.02189781,1276686.12,127.668612,1074.772172,37.77674337,29.6414601,2.96414601,13.15620418,1.327007357,-0.89342638,-0.341997133,5.60356043,74,1.780741321,12.7668612,1.315620418,94.48741489,10.74772172,762.1541574,0.669057959,275.7565515,30.82451766,8.675061566,0.219068889,0.345107915
6,,A,N,0,25_75,None,0,1000,0,25_75,Moderate,0,1000,None,0,,500,500,"34.6914077055633, -119.586840952132",1559.999775,22949.99937,22.94999937,0.326492,1732.425607,1415480.966,1087.017922,-0.297123836,-0.089094048,5.092623884,74,110.7240706,1732.425607,36.95299145,1415480.966,141.5480966,1087.017922,36.91109509,30.16153864,3.016153864,13.52384582,1.939743675,-0.297123836,-0.089094048,5.092623884,74,1.732425607,14.15480966,1.352384582,69.27592938,10.87017922,745.6918457,0.644464536,670.0138086,31.31551125,8.702213516,0.531288724,0.341194507
7,US ,N,Y,50,25_75,Moderate,500,500,0,1_25,Low,250,750,Low,0,,125,875,"34.6909586632101, -119.661205024263",730.0007347,16374.99745,16.37499745,0.716125,1965.987224,1524948.491,1202.660034,0.156644718,0.061046852,5.498103106,74,63.84411777,1965.987224,10.39520958,1524948.491,152.4948491,1202.660034,13.23074841,27.26000023,2.726000023,12.15999985,0.75,0.156644718,0.061046852,5.498103106,74,1.965987224,15.24948491,1.215999985,116.1558822,12.02660034,738.6208882,0.442866859,921.532233,24.965193,7.827456926,0.527888925,0.128088209
9,US ,N,N,25,1_25,Low,250,750,0,1_25,Low,0,1000,None,0,,125,875,"34.6896186748571, -119.659136635012",700.0003333,12149.99165,12.14999165,0.795818,1962.881281,1562326.351,1202.660034,-0.364743016,-0.154985957,5.182453634,74,94.5762592,1962.881281,6.731092437,1562326.351,156.2326351,1202.660034,19.93295938,27.26000023,2.726000023,12.15999985,0.75,-0.364743016,-0.154985957,5.182453634,74,1.962881281,15.62326351,1.215999985,85.4237408,12.02660034,729.6905424,0.635843929,646.752202,25.56974763,7.982252965,0.504645185,0.315712013
10,,N,N,50,25_75,Moderate,500,500,0,25_75,Moderate,0,1000,None,0,,500,500,"34.689591992461, -119.586857738119",420.00012,5349.998639,5.349998639,0.105417,1812.261392,883289.476,1091.219971,-0.248093825,-0.04863651,4.597035747,74,147.8181142,1812.261392,7.576923077,883289.476,88.3289476,1091.219971,37.61780555,30.34000015,3.034000015,13.64999962,2.150000095,-0.248093825,-0.04863651,4.597035747,74,1.812261392,8.83289476,1.364999962,32.18188582,10.91219971,761.7040894,0.610272425,496.2436584,30.77871094,8.666298866,0.391227943,0.356039683
11,,A,N,0,25_75,None,0,1000,0,25_75,Moderate,0,1000,None,0,,500,500,"34.7044889375906, -119.784339503737",1070.002351,17125.01083,17.12501083,0.24664,1711.684112,1563367.164,1125.757985,-0.594206157,-0.23486578,5.739341449,84,251.8162211,1711.684112,62.11111111,1563367.164,156.3367164,1125.757985,16.46044129,27.31801187,2.731801187,12.67847967,1.930877122,-0.594206157,-0.23486578,5.739341449,84,1.711684112,15.63367164,1.267847967,71.81622114,11.25757985,778.2313448,0.509273979,648.2678564,25.4899826,8.686560519,0.438251416,0.207664065
12,,N,Y,0,25_75,None,0,1000,0,25_75,Moderate,0,1000,None,0,,500,500,"34.712638794701, -119.811424340329",529.9995253,7699.993627,7.699993627,0.785127,1983.536139,1634664.163,1242.823843,-0.049926758,-0.042256869,5.655428565,84,93.61237297,1983.536139,6.282051282,1634664.163,163.4664163,1242.823843,10.98115022,25.62230829,2.562230829,12.27076897,2.044615415,-0.049926758,-0.042256869,5.655428565,84,1.983536139,16.34664163,1.227076897,86.38762703,12.42823843,704.3210083,0.398924132,332.435218,21.83070202,8.46747427,0.171823229,0.042343602
13,,N,N,5,25_75,None,0,1000,0,25_75,Moderate,0,1000,None,0,,500,500,"34.7083015943567, -119.792749359305",729.9991349,13275.00671,13.27500671,0.493498,1795.822489,1540074.027,1213.140015,0.937730373,0.374412365,4.465154942,84,105.4811873,1795.822489,5.69924812,1540074.027,154.0074027,1213.140015,23.76523701,26.84000015,2.684000015,12.81999969,2.380000114,0.937730373,0.374412365,4.465154942,84,1.795822489,15.40074027,1.281999969,74.51881268,12.13140015,738.915332,0.49202913,245.4345113,23.79193865,8.84270827,0.135011477,0.08781462
14,,A,N,50,25_75,Moderate,500,500,0,1_25,Low,250,750,Low,0,,125,875,"34.7097496318246, -119.790161167142",519.9995247,9225.004193,9.225004193,0.400691,1757.354379,1511663.801,1213.140015,0.211658234,0.078554519,5.361540503,84,86.15092797,1757.354379,5.79787234,1511663.801,151.1663801,1213.140015,12.64116305,26.84000015,2.684000015,12.81999969,2.380000114,0.211658234,0.078554519,5.361540503,84,1.757354379,15.11663801,1.281999969,93.84907203,12.13140015,741.0037564,0.53854887,455.9385182,24.24445343,8.795201388,0.309947193,0.197751791
15,,A,N,5,25_75,None,0,1000,0,25_75,Moderate,0,1000,None,0,,500,500,"34.7083283686221, -119.79014328394",789.9996376,12124.99629,12.12499629,0.978724,1757.150449,1504518.88,1213.140015,-0.342216678,-0.135906188,6.631646585,84,127.9764981,1757.150449,18.83739837,1504518.88,150.451888,1213.140015,11.41379385,26.84000015,2.684000015,12.81999969,2.380000114,-0.342216678,-0.135906188,6.631646585,84,1.757150449,15.0451888,1.281999969,52.02350192,12.13140015,739.4620728,0.519485714,274.5753123,23.96586316,8.837560018,0.161274383,0.12271599
16,,A,N,0,1_25,None,0,1000,0,1_25,Low,0,1000,None,0,,125,875,"34.7196483427336, -119.78640511429",1270.000061,18825.00854,18.82500854,0.859376,1631.153571,1394891.792,1185.808843,-0.650177986,-0.252668811,6.048293739,84,269.5207947,1631.153571,96.85483871,1394891.792,139.4891792,1185.808843,28.3360641,27.38720512,2.738720512,12.4944086,1.398064476,-0.650177986,-0.252668811,6.048293739,84,1.631153571,13.94891792,1.24944086,89.52079469,11.85808843,759.3526123,0.67885612,588.1766098,27.13316956,8.687791681,0.468513027,0.392385955
17,,A,N,0,25_75,None,750,250,0,25_75,Moderate,0,1000,None,0,,500,500,"34.709313202152, -119.784254048407",460.0007219,6950.00966,6.95000966,0.768863,1760.6882,1641811.556,1183.300049,-0.762595593,-0.261680925,7.137955645,84,191.6428743,1760.6882,38.08450704,1641811.556,164.1811556,1183.300049,9.347207922,27.02000046,2.702000046,12.71000004,2.119999886,-0.762595593,-0.261680925,7.137955645,84,1.7606882,16.41811556,1.271000004,11.64287427,11.83300049,745.1242752,0.588543122,391.4641571,24.28099465,8.737191439,0.27850184,0.252047759
18,,N,Y,0,75_100,None,0,1000,0,75_100,High,0,1000,None,0,,875,125,"34.7094907716251, -119.787603520439",1060.000051,16150.00877,16.15000877,0.344595,1790.825754,1459507.354,1192.397599,-0.008311946,-0.005657289,5.194554421,84,274.614817,1790.825754,12.56707317,1459507.354,145.9507354,1192.397599,18.40271723,26.96512232,2.696512232,12.74353652,2.199268248,-0.008311946,-0.005657289,5.194554421,84,1.790825754,14.59507354,1.274353652,94.61481695,11.92397599,739.5055847,0.445210321,214.7572831,24.38665231,8.757005215,0.133656833,0.141405196
