ORIG_FID,aspect_30m,cwd,dem_30m,insolation_30m,rain_30m,rdnbr_2007,slope_30m,tmax_30m,tmean_30m,tmin_30m,TPI_five_30m,TPI_queen_30m,TWI_30m,vpd_aug,vpd_jan,years_since_burn_30m,dnbr_2007,ndmi_2007
33525,326.7713841,853.2801383,1586.351676,1085847.888,675.6121608,1320.770176,30.97616577,20.32571425,13.79500014,7.263571399,0.472341379,0.17055415,4.286889945,36.85098975,8.935702051,93,0.972045979,-0.388667452
33589,67.23861585,900.9566781,1356.444964,1403302.473,723.2895421,1387.646781,10.69501642,21.60190419,13.68238108,5.752857276,-0.800526454,-0.306727093,7.645125083,41.69569887,9.195181847,93,0.759987184,-0.386335559
33590,101.004873,850.1392008,1605.06783,1031416.479,676.7700195,1236.01414,30.39366722,20.32999992,13.80000019,7.269999981,-1.053758413,-0.39836149,4.738608599,36.88179779,8.950793743,93,0.915200313,-0.340202139
35044,127.7773138,770.5482527,1303.031625,1274362.768,899.2199707,385.9736851,21.51191895,19.70000076,14.43000031,9.159999847,-1.246893021,-0.469526738,6.061945677,31.94739192,9.748675346,84,0.320897234,0.163206388
35045,128.9729854,751.1994697,1590.106133,1237774.528,835.9233195,990.2291802,22.62570996,20.09333293,13.70777777,7.321111096,0.098161108,0.030766616,6.224956248,33.40956836,8.515348223,86,0.606088168,-0.279150384
35045,56.862431,1048.469998,497.857466,1047938.382,566.1500244,1115.590156,29.54305055,23.73999977,16.14999962,8.56000042,-0.138749126,-0.032797298,4.359538237,38.15921614,12.59460396,93,0.606088168,-0.279150384
35045,38.00970898,792.5356689,1400.921289,1065013.013,865.6400146,469.0634949,30.09750595,20.15999985,12.72000027,5.28000021,0.411018913,0.151866317,5.408540821,34.40876007,9.717542839,86,0.606088168,-0.279150384
35045,63.2974577,955.5627645,877.811381,1128824.281,641.7700195,840.3628743,24.1574297,22.48999977,16.11000061,9.729999542,0.149368852,0.04682951,5.177897453,36.77216276,12.23974276,93,0.606088168,-0.279150384
35056,61.67784119,1028.587191,447.1832081,1177207.011,559.9400024,454.5882124,21.12769214,24.21999931,15.93999958,7.659999847,0.270453568,0.067889277,4.845573989,39.93180015,12.760877,93,0.279441531,-0.073479372
35077,35.93649033,799.5137416,1584.440808,1064438.574,1094.719971,240.0728262,32.97934559,18.70000076,12.94999981,7.190000057,0.69748522,0.254182682,4.609876281,31.76296071,8.827166739,84,0.196375019,0.192236588
35078,83.19218636,793.762089,1590.818225,1179433.994,1094.719971,200.5854632,31.88428946,18.70000076,12.94999981,7.190000057,-0.103195523,-0.041238232,5.126676321,31.34831053,8.803599421,84,0.155363249,0.193606105
35094,92.35641134,881.0112014,1555.632464,1295980.607,693.9500122,561.8063645,37.60387103,20.59000015,13.72000027,6.840000153,-0.289845279,-0.095919574,4.768827722,38.55748513,9.342575754,93,0.369414922,-0.069730004
35154,153.0900615,1025.931481,470.0234281,922242.3173,560.7361591,343.8116197,30.8008147,24.15846091,15.96692276,7.775384536,-0.526064634,-0.221764001,5.592099813,38.80379251,12.63802235,93,0.23032922,-0.036708884
35164,294.9147697,851.9780224,1377.863779,1339789.423,1005.539978,1274.881901,20.61646277,20.06999969,13.92000008,7.769999981,-0.281628944,-0.110627846,5.468710695,31.79294146,9.424985866,93,0.853402261,-0.37253383
35165,121.3031401,812.1241296,1630.616959,1598941.516,1079.410034,1143.886061,5.196285121,18.47999954,12.73999977,7,-0.094346198,-0.030116574,7.768189513,28.43976991,8.774301405,84,0.608502067,-0.324278354
35166,77.9971034,794.544099,1632.531999,1568453.448,1173.439941,1227.629272,3.77720839,18.07999992,12.32999992,6.570000172,-0.172437178,-0.062195584,8.462836463,28.50872053,8.665606301,84,0.704447687,-0.338654185
35166,58.96836606,912.2175688,1485.547952,1073572.721,1088.420044,1042.796857,37.95273702,18.86000061,13.25,7.630000114,-0.684922189,-0.236628217,5.006118901,30.03855099,8.4460208,84,0.704447687,-0.338654185
35166,81.67347063,901.7016166,1445.394078,1217008.518,1088.420044,1039.941711,36.58156695,18.86000061,13.25,7.630000114,-0.822994184,-0.320978312,6.078341484,29.9093211,8.54122448,84,0.704447687,-0.338654185
35167,206.3833745,877.8434347,1546.709981,1490639,711.2399902,1379.614685,28.89120356,20.47999954,13.59000015,6.699999809,-1.130506734,-0.408101406,5.484460672,37.968105,9.369707823,93,0.861315871,-0.41493276
35168,144.7925751,718.4786174,1812.123608,1673052.717,1213.140015,502.1809255,12.23573876,17.62000084,12.81999969,8.010000229,0.605085364,0.216490342,5.155157852,23.77554309,8.785353597,84,0.250561669,-0.146084491
35169,303.617895,944.2864047,999.8922785,1043798.358,668.3599854,493.5170038,35.81716243,21.82999992,16.54999924,11.26000023,0.501678153,0.165457063,4.045548114,34.61454114,11.69044,14,0.363740022,0.006291772
35170,324.9227585,943.7245087,942.746875,1076994.431,641.7700195,580.9615166,29.49142408,22.48999977,16.11000061,9.729999542,0.767440124,0.272981933,4.327249694,35.53553791,12.08966999,93,0.387090393,-0.081682621
35170,51.7865768,951.0242988,903.1801215,1045829.868,641.7700195,662.5884018,29.55585077,22.48999977,16.11000061,9.729999542,0.37891755,0.122524687,4.50521795,36.42560747,12.22300519,93,0.387090393,-0.081682621
35171,322.4956806,943.0555232,897.5358652,1051637.365,641.7700195,444.7781173,31.02413016,22.48999977,16.11000061,9.729999542,-0.126441881,-0.072935318,5.053363543,35.72325662,12.13643008,93,0.318052382,0.00130219
35172,57.38108296,1057.607313,495.0686069,802006.0486,545.6500244,1245.17433,38.74179289,24.09000015,16.46999931,8.840000153,0.05933635,0.047798254,4.39392172,42.57203378,12.23341052,93,0.761899948,-0.376561815
35173,260.6190741,1065.007673,462.4438607,1000239.795,545.6500244,1271.529009,24.43551009,24.09000015,16.46999931,8.840000153,-2.222951757,-0.807333205,7.533483233,42.99917603,12.12729386,93,0.624574448,-0.372526617
35174,258.7926143,832.1871667,1692.19512,1372625.601,606.2884357,685.3465048,29.26866649,20.38307703,13.09423069,5.801923037,1.067113119,0.40019644,4.134186451,37.71842824,8.840106891,93,0.475653351,-0.108622501
35175,24.91727552,994.0139328,934.2067917,1093958.836,564.4899902,1180.21355,26.93113275,22.13999939,16.56999969,10.98999977,-0.226392616,-0.084308031,5.421528006,33.08396873,12.24898798,91.50277796,0.883747721,-0.308640532
35175,86.72884384,926.3343036,981.5714769,933387.1587,637.460022,995.1061824,35.4074531,21.90999985,16.65999985,11.39999962,0.732177197,0.302297478,4.182952221,33.07895719,11.78655243,93,0.883747721,-0.308640532
35181,52.09597865,891.8658253,1375.989541,1059275.636,722.8900146,454.0470408,33.72910851,21.78000069,13.73999977,5.690000057,0.025432553,0.013283087,4.531589844,43.76389902,9.750984755,93,0.253674369,-0.075835123
35182,181.7992077,891.3778569,1456.913424,1017186.041,722.8900146,525.4543128,34.06496517,21.78000069,13.73999977,5.690000057,-1.022696191,-0.411660083,5.015731977,43.6249353,9.783242042,93,0.344557831,-0.042017676
35182,264.3056815,994.272862,1320.290231,1303188.429,586.1928624,521.8558393,22.0440058,22.37142863,13.59285709,4.804285731,1.748087545,0.667937989,3.816088676,44.58045741,10.67612185,93,0.344557831,-0.042017676
35182,314.7401428,815.8553009,1295.18248,879982.4609,958.9899902,897.264679,37.1388104,20.25,14.28999996,8.329999924,0.020790944,-0.036511106,4.384598047,33.05586481,9.306938887,75,0.344557831,-0.042017676
35189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8026098,10.59837931,NA,NA,NA
35189,96.57388033,1019.334403,371.6134883,1330609.045,513.1400146,714.0827223,14.32738164,25.12999916,16.11000061,7.090000153,-0.082096162,-0.023073773,6.251620735,44.24137878,12.91601004,93,NA,NA
35189,268.7629242,986.0860257,375.669654,1298283.917,518.6900024,755.9551934,16.18425186,25,16.03000069,7.059999943,-0.707557198,-0.262165065,7.37403361,43.89183341,12.74228054,93,NA,NA
35190,80.23523426,831.9552536,1690.96962,1163510.086,625.9462509,517.8625526,28.76718521,20.04291725,13.0470835,6.041666627,-1.822787799,-0.725953205,5.38719207,37.67065525,9.005643368,93,0.366460856,-0.006689947
35191,62.26995811,919.7140991,1505.426978,1099774.613,600.3266724,806.4276733,29.4237545,20.37333374,13.12933369,5.884000015,-0.557836938,-0.241844702,4.516132021,38.89050751,8.885710716,93,0.620428169,-0.12858507
35194,73.86210336,807.5534092,1432.837592,1254923.188,817.752238,424.0823661,26.74114333,19.69333331,13.03888861,6.379999982,-0.708592548,-0.256750883,5.696378655,33.7403344,8.990023666,86,0.296159755,-0.006533386
35196,73.82132612,799.1503645,1653.688459,1341209.804,1157.400024,668.9980643,22.08821923,18.17000008,12.47999954,6.789999962,-1.853306371,-0.69944667,6.586780821,29.29861069,8.627327783,84,0.467468513,-0.0735691
35214,87.54187423,821.6419255,1525.993127,1178362.913,639.8900146,843.4865347,38.20531229,19.97999954,12.77000046,5.559999943,-0.662660249,-0.231452747,5.151413147,37.1196741,8.642854617,86,0.595350742,-0.172821463
35215,99.42279604,1019.10968,446.8684794,1160557.299,535.1799927,401.3439738,23.1467908,24.31999969,16.22999954,8.140000343,-0.69900473,-0.241281296,6.112734901,42.31207275,12.59707811,93,0.231725732,-0.061612663
35216,NA,1003.965409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65798442,12.87266006,NA,NA,NA
35216,85.54814453,1027.339795,413.6505066,1358679.325,556.3200073,588.756366,5.141170788,24.35000038,15.82999992,7.300000191,-0.05887112,-0.012621731,7.654232502,41.10662231,12.7991066,93,NA,NA
35217,61.56443841,994.20849,460.0066544,948815.9031,531.2000122,483.1920601,29.14249697,24.13999939,16.29000092,8.43999958,-0.942500807,-0.345151687,5.753998375,41.46969147,12.51333861,93,0.291383065,-0.127913223
35217,26.90277083,1002.231711,369.0347355,1014901.134,513.1400146,388.2993987,25.98406642,25.12999916,16.11000061,7.090000153,-0.510965258,-0.194169609,4.866345985,44.72679438,12.81574474,93,0.291383065,-0.127913223
35217,221.8145113,999.3419189,364.9868698,1333477.781,518.6900024,354.8061167,1.330172285,25,16.03000069,7.059999943,-0.122809517,-0.03971287,10.51347228,43.83169206,12.84572013,93,0.291383065,-0.127913223
35218,45.88268896,834.8249956,1707.204496,1185879.259,611.8300171,748.7749232,29.60508962,20.34000015,12.97999954,5.619999886,0.026416513,-0.021517823,4.499539635,37.70728319,9.045152751,93,0.500138818,-0.127197303
35219,89.98188185,836.3477385,1704.704447,1223508.908,624.8008476,591.0866984,27.63882442,20.11507283,13.1176813,6.113478163,-0.083331582,-0.035846721,4.647945508,37.6509013,8.757245478,93,0.389080097,-0.067581772
35219,84.81701361,832.9256731,1676.050731,1060463.866,587.9972451,565.2377853,33.95154953,20.64787865,13.07106031,5.494090926,-0.107431735,-0.039657438,4.396904046,37.92288208,8.816395196,93,0.389080097,-0.067581772
35219,83.14350891,867.1411011,1614.480432,1193537.838,678.289978,871.4657593,26.48587227,19.90999985,12.97999954,6.039999962,-0.354261616,-0.137759577,4.702488708,36.95103111,8.631171227,93,0.389080097,-0.067581772
35220,203.0305176,1016.837197,403.7535539,1375241.75,522.1018233,313.749312,13.22699291,24.76545438,16.10090984,7.43636348,1.022373412,0.404781926,4.685603727,42.22852603,12.57773495,93,0.13438413,-0.135681737
35220,271.0727295,1018.259875,594.2437622,1219251.975,544.7119873,640.213147,31.83941154,24.34799995,16.30200005,8.256000519,-0.076820213,-0.043206108,4.790177727,42.91099625,12.59764214,93,0.13438413,-0.135681737
35223,311.2002197,1032.067668,497.2343221,974853.0875,516.1900024,795.7478434,33.01698952,23.87999916,16.5,9.119999886,-0.289172823,-0.134340041,4.486876392,41.33423487,12.14778347,93,0.48320968,-0.20713623
35229,329.5719676,1012.518135,504.0051323,850072.4669,509.260008,452.9314162,37.65604502,24.16470539,16.37705848,8.582941111,0.740131056,0.270094882,4.147867399,41.58525287,12.17180039,93,0.283605419,-0.064135317
35254,242.8533262,1023.653843,450.2739096,1268741.421,535.8592098,428.8741131,16.34934036,24.31019581,16.23862704,8.167059169,0.092238981,0.039161345,5.537669729,42.65924476,12.50444726,93,0.221978046,-0.117562375
35254,150.4803742,1029.879076,469.8940467,1050017.92,515.453014,757.0547837,25.55109616,24.3268684,16.33686886,8.336970069,-0.571056721,-0.229555498,5.396326296,42.94066747,12.29987639,93,0.221978046,-0.117562375
35254,88.02579618,762.9425392,1571.993378,1387405.602,928.9225082,774.9704151,19.90662283,19.28125,13.20374978,7.126249969,-1.257091954,-0.474123208,6.933222383,33.48410726,8.584103703,86,0.221978046,-0.117562375
35254,295.1642832,966.7862032,401.8760728,1034877.692,522.8599994,717.0878765,33.66165293,24.71333313,16.11666723,7.519999871,-0.647732202,-0.234404404,4.941316366,42.67887761,12.47219452,93,0.221978046,-0.117562375
35255,81.160335,762.0481742,1700.576189,1427084.375,991.5428728,783.9991891,19.80921309,18.57142939,13.04714257,7.522857053,-1.324660546,-0.509943406,6.481948853,28.77614512,8.649416106,74,0.5869092,-0.099594047
35256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.18689835,10.01035774,NA,NA,NA
35279,292.6022023,951.0328815,731.9655742,1008647.711,639.7423977,539.448987,31.65478219,22.53296274,16.13846612,9.743544518,0.055353618,0.023331497,5.223999708,37.54539774,12.3045354,93,0.383510961,-0.070570211
35279,290.7649302,944.6732356,908.5933685,962623.75,641.7700195,617.8431447,33.24628568,22.48999977,16.11000061,9.729999542,0.100733439,0.046490704,5.034125189,35.98183552,12.17345834,93,0.383510961,-0.070570211
35279,295.0431595,840.130895,1159.033986,1146743.12,906.0211182,1324.13032,34.65889947,20.69500001,15.40194432,10.10888871,0.220280396,0.071594239,5.158735037,33.18612226,10.30376466,57,0.383510961,-0.070570211
35279,249.8828049,981.0835571,475.5301276,1110872.229,531.2000122,748.7980821,33.85609351,24.13999939,16.29000092,8.43999958,1.405480663,0.553591177,3.763097286,41.74063789,12.5326608,93,0.383510961,-0.070570211
35279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.20857048,12.04177833,NA,0.383510961,-0.070570211
35279,300.72789,945.5833435,967.0579834,1106179.25,668.3599854,522.8649445,32.62794638,21.82999992,16.54999924,11.26000023,0.937055815,0.328158696,3.944206178,35.1697588,11.809654,14,0.383510961,-0.070570211
35280,244.3633478,785.0907886,1611.970996,1485284.415,953.5999756,1188.379832,31.18506859,18.22999954,12.78999996,7.340000153,0.281151801,0.103699681,4.916511488,27.9378302,8.562421417,74,0.945400739,-0.299336987
35280,255.4310425,887.4480957,1529.542493,1421140.675,711.2399902,857.9201904,29.16667271,20.47999954,13.59000015,6.699999809,-0.642967393,-0.271592367,5.532201481,38.36886711,9.438074303,93,0.945400739,-0.299336987
35280,17.65291958,849.6465454,1370.634204,1137102.9,786.3699951,1122.607434,25.18539276,21.35000038,13,4.650000095,-0.548773873,-0.174140421,5.898857689,39.23470993,10.52024174,93,0.945400739,-0.299336987
35280,305.2490906,873.0411987,1613.6271,1036161.35,701.2502197,897.859021,36.51332703,20.54355545,13.66511135,6.780888939,-0.70472281,-0.242166814,4.101860046,38.36452866,9.394306183,93,0.945400739,-0.299336987
35282,230.516037,736.7495931,1868.046,1192615.646,1068.530029,287.8376439,25.33357684,17.54999924,12.09000015,6.630000114,-1.057047521,-0.387318933,6.157042185,25.63252513,8.297106425,74,0.198634555,0.079019258
35287,323.4541524,816.8342353,1560.533305,1213345.556,830.0800171,232.9175631,26.43487146,19.86000061,13.14999962,6.429999828,1.025270811,0.351783933,4.40219552,35.44068082,8.938388242,86,0.152797659,0.022874092
