"","OBJECTID","FS_UNIT_NA","FS_UNIT_ID","PHYSIOGNOM","USGS_ANDER","USGS_AND_1","LOCAL_ANDE","SAF_COVER_","SRM_COVER_","NVCS_CLASS","NVCS_SUBCL","NVCS_FORMA","NVCS_DIVIS","NVCS_MACRO","NVCS_GROUP","NVCS_ALLIA","NVCS_ASSOC","CULTURAL_C","CULTURAL_S","CULTURAL_F","CULTURAL_1","CULTURAL_G","CULTURAL_2","CULTURAL_T","CULTURAL_3","NVCS_LEGAC","AGGREGATIO","REGIONAL_D","REG_DOMINA","TOTAL_VEGE","TREE_CFA_C","TREE_CFA_V","SHRUB_CFA_","SHRUB_CFA1","CONIFER_CF","HARDWOOD_C","HERBACEOUS","OS_TREE_DI","OS_TREE__1","OS_TREE__2","REGIONAL_1","HARDWOOD_1","TREE_CFA_1","OS_TREE__3","OS_TREE__4","OS_TREE__5","REGIONAL_2","HERBACEO_1","SHRUB_CF_1","LOCAL_CLAS","LOCAL_CL_1","LOCAL_CL_2","LOCAL_CL_3","LOCAL_CL_4","LOCAL_CL_5","LOCAL_OS_T","LOCAL_OS_1","LOCAL_OS_2","MAP_UPDATE","UPDATE_COM","SOURCE_DAT","SOURCE_D_1","SOURCE_D_2","REV_DATE","DATA_SOURC","ACCURACY","ECOREGION_","ECOREGION1","ECOREGIO_1","ECOREGIO_2","ECOREGIO_3","CALVEGZONE","TILE","COVERTYPE","R05_DATA_S","CAUSE_DATE","PROD","CANOPYSTRU","REFORESTAT","ORIGIN_YEA","CWHR_LIFEF","CWHR_TYPE","CWHR_SIZE","CWHR_DENSI","SOURCE_D_3","CON_CFA","HDW_CFA","SHB_CFA","TOTAL_TREE","OS_TREE__6","OS_TREE__7","ORIG_FID","combined_c","tree_shrub","prefire","postfire","centroid_l","Shape_Leng","Shape_Area","random_sor","aspect_30m","cwd","dem_30m","insolation_30m","rain_30m","rdnbr_2007","slope_30m","tmax_30m","tmean_30m","tmin_30m","TPI_five_30m","TPI_queen_30m","TWI_30m","vpd_aug","vpd_jan","years_since_burn_30m"
"0","1",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","MP",NA,NA,"01",0,"40",0,"01",NA,NA,NA,0,NA,"QC","01","01",NA,0,NA,"CQ",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2002,6,15,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2010/08/16","P",NA,"NS",0,"WHR_SHB","MCH","0","X","2002/06/15","00","00","35","00","N","N","408","40_01_","01_40","25_75","1_25","34.6906319327479, -119.658994826856",799.998438306,14400.0138962,0.346516,83.9652244567871,728.024890136719,1959.62557779948,1507742.83333333,1202.66003417969,1140.021484375,22.3389116287231,17.2600002288818,12.1599998474121,7.05999994277954,0.66714138497288,0.256212700049703,4.4768970489502,25.0581372578939,7.84871342976888,74
"1","2",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,8,23,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2010/08/23","P",NA,NA,0,"WHR_MIX","MHC","4","S","2010/08/23","05","05",NA,"15","25","15","414","_01_","20_","0","0","34.6927940697241, -119.59476955208",669.999934876,8124.99997031,0.944315,242.222269231623,782.205266779119,1903.43138538707,1502665.77272727,1050.25,223.050590688532,39.5586679632014,18.3299999237061,12.4200000762939,6.51000022888184,1.13508373566649,0.432257910555398,4.00514021786776,28.9633723172274,8.65754344246604,74
"2","3",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,8,23,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2010/08/23","P",NA,NA,0,"WHR_CON","SMC","4","P","2010/08/23","15","05",NA,"25","25","15","415","_20_","20_","0","0","34.6931835212774, -119.595777806193",1269.99966304,34575.0169689,0.165346,259.994709617213,791.61159635845,1804.19368382504,1305558.29605263,1038.6363332648,267.92117509089,43.6767694573653,18.57605221397,12.8942103636892,7.21236851340846,-0.307478685912333,-0.0862901041921424,4.72705943960892,29.0068361382735,8.68733717265882,74
"3","4",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"00",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","2","M","2007/09/02","15","25",NA,"45","02","02","416","_20_","40_","25_75","25_75","34.6904370967104, -119.589034421761",410.00041949,4350.0033467,0.665683,67.4841664632161,789.92714436849,1884.40494791667,1221676.89583333,1050.25,374.541056315104,36.755578994751,18.3299999237061,12.4200000762939,6.51000022888184,-0.744624378780524,-0.301634336511294,4.96631741523743,30.0911652247111,8.65231959025065,74
"4","5",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"00",0,NA,"QC","40","40","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,8,23,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2010/08/23","P",NA,NA,0,"WHR_MIX","MHC","2","M","2010/08/23","15","35",NA,"55","02","02","417","_20_","40_","1_25","1_25","34.6904392028777, -119.587874897731",939.999446038,13925.0050208,0.43555,85.0776656014579,762.154157366071,1778.31503731864,1275334.74107143,1075.61236572266,275.756551470075,37.5386507851737,19.0542857306344,13.181428364345,7.30857164519174,-0.815417106662478,-0.307968988083303,5.54856317383902,30.8245176587786,8.67506156648908,74
"5","6",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"01",NA,NA,"00",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,8,23,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","DNC","2010/08/23","P",NA,NA,0,"WHR_HDW","MHW","2","P","2010/08/23","05","25",NA,"35","02","02","418","_01_","40_","25_75","25_75","34.6914077055633, -119.586840952132",1559.99977529,22949.9993652,0.326492,111.548742980957,745.691845703125,1735.76306152344,1424302.07,1086.30357910156,670.01380859375,36.5481633758545,19.3596000671387,13.5023996734619,7.64520021438599,-0.15758138563484,-0.0282092970609665,5.16061486244202,31.3155112457275,8.70221351623535,74
"6","7",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","MP",NA,NA,"01",0,"20",0,"01",NA,NA,NA,0,NA,"QC","01","01",NA,0,NA,"CX",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,"NS",0,"WHR_SHB","MCP","0","X","1993/05/29","00","00","25","00","N","N","419","20_01_","01_20","25_75","1_25","34.6909586632101, -119.661205024263",730.000734737,16374.9974452,0.716125,84.5637559388813,738.620888157895,1965.74432694285,1519600.88815789,1202.66003417969,921.532232987253,13.6248611400002,17.2600002288818,12.1599998474121,7.05999994277954,0.128566450194309,0.0529676273857292,5.4702027471442,24.9651929955733,7.82745692604466,74
"7","8",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","3","M","2010/07/01","25","15",NA,"45","07","02","421","_20_","40_","0","0","34.6890449619648, -119.657936228419",700.000533285,10775.0070236,0.273756,140.253562046931,718.61083984375,1941.03117487981,1695922.61538462,1202.66003417969,765.085158128005,13.7276705961961,17.2600002288818,12.1599998474121,7.05999994277954,0.608169959141658,0.228566355716724,5.47350201239953,25.8928510225736,8.0638678257282,74
"8","9",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","P","2010/07/01","15","15",NA,"35","07","02","422","_20_","40_","1_25","1_25","34.6896186748571, -119.659136635012",700.000333315,12149.9916541,0.795818,96.6907747708834,729.690542367788,1965.64716984675,1565884.67307692,1202.66003417969,646.752201960637,20.8348610217755,17.2600002288818,12.1599998474121,7.05999994277954,-0.0630300113788018,-0.0305851313930291,4.9653484087724,25.5697476313664,7.98225296460665,74
"9","10",NA,NA,NA,"4","44",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2007,9,2,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","CON","DNC","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","5","P","2007/09/02","25",NA,NA,"25","25",NA,"541","_20_","20_","25_75","25_75","34.689591992461, -119.586857738119",420.000119993,5349.99863861,0.105417,154.948736667633,761.704089355469,1816.38337402344,886009.675,1091.21997070312,496.243658447266,37.7175933837891,19.5,13.6499996185303,7.80000019073486,-0.0986436575651169,0.0348612546920776,4.51155982017517,30.7787109375,8.66629886627197,74
