"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.69736237235539,4.90079563490452,4.61799960989685,9.3999042597968,13.7498096967631,28.079825481545
"tmax",3.58906129321861,2.93565670785091,7.15235933044957,15.2872029388188,15.2834417353083,29.253950863341
"TPI_five",11.4028918590108,3.53784641049673,-1.24007751635411,21.047711740466,18.7338709864834,43.1465965218752
"dem_10m_zaca",18.3869738544986,2.94924201459712,5.93565292561112,20.2755710967562,26.3965215556332,46.2804270137161
"flow_accumulation",16.8851351908844,3.10010881763429,2.61945674853718,10.6542801391762,18.0819652968864,40.6039541826968
"sr",15.0084651544645,0.563918491919728,-1.04814045708102,20.2439075731558,19.7342419522213,41.8090595849173
"slope",9.9387327773285,2.61481875502033,6.24367829253786,19.7105349786669,19.499960405315,40.9407274653975
"TWI",2.30857184662504,-0.824639779707269,1.88768800379977,3.71476332698619,3.82703483911411,31.2382020311448
"cwd",10.2027560565664,3.52026304030669,5.81399610374137,12.9388178794224,17.82543515035,36.7917051231979
"vpd_aug",0.460939484235753,1.48166843836147,14.9455822136698,12.4853950765092,16.8158679695177,36.084591732168
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.28073435101619,4.28009482654854,3.22561076449279,8.7937098090353,11.3680057727493,31.4585304974136
"tmax",-1.11200700191724,2.4266159525534,1.44608914475692,14.9920385547569,10.1718444053773,29.5208981131717
"TPI_five",1.01660655287429,6.32070838256328,-5.37486233332388,18.228788600626,11.309668281407,39.1826583413332
"dem_10m_zaca",11.8328708132105,0.633798228453043,1.43955401434496,24.297881832202,21.1861599703574,41.7206726851034
"flow_accumulation",8.3873872759596,4.20305623195672,-2.34464395510506,13.9285119959377,12.9883304206231,39.5681217100643
"sr",2.3302051005421,5.34550822092207,-4.05728127345828,19.429284711555,13.106247264392,39.7861478891316
"slope",4.04584476917822,3.21853960207046,-1.26419416705045,24.1383740761387,17.1525305570616,45.6898310646321
"TWI",-0.396069912431334,-0.212968086490001,0.559417550284632,6.96282981301161,4.03135446794248,32.6160341287507
"cwd",8.21479937782321,-1.27142562760319,4.05257577159687,14.7101050601292,13.0528097902734,37.1791829324104
"vpd_aug",-2.69017480403225,4.1696548240873,9.88744225716659,15.1349351391298,13.9468132247618,37.5471386379888
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.48899951060827,5.37265609731377,5.72201129013706,6.73422953777469,12.9788304473538,29.2565479462114
"tmax",1.36344692932493,6.50978598785929,5.16095815878255,15.1167186473443,15.1734469046668,30.8715592138505
"TPI_five",11.1057576306316,1.30331684134497,-3.11374702082041,21.9735748960721,16.850080721858,44.5315042175612
"dem_10m_zaca",10.0138719813563,-1.08418336686518,1.47074085539882,19.5927971481253,16.7867038957,39.2833184380848
"flow_accumulation",8.78998054059579,1.89942918839808,-2.03620818273402,11.05884818362,10.948140031595,36.3103442956542
"sr",1.46527741242651,9.32383268349876,-3.25946772619558,17.7418079468199,13.262866772714,38.9453840223948
"slope",14.0198301435337,3.39082881329556,5.06082709785111,18.2043032967082,20.5605288848779,46.1706029100124
"TWI",-1.75363746560938,2.0191632549626,-0.582304655161734,8.9076580652433,4.63956962105025,32.1912976286804
"cwd",11.3106792687944,0.135893285681157,5.32101162021823,13.5482266973691,14.7444340440803,38.6997537839893
"vpd_aug",2.04977914874453,5.17542359755127,10.1767505475346,14.152078833211,17.5138892434268,38.0068155435609
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.75596728527351,9.64214125668424,3.45407740758744,6.1530622457312,12.6875449219402,30.0565174174734
"tmax",1.5287388819412,5.62651695068391,3.84482925287986,12.5008937685158,12.4472235510216,29.8086183607131
"TPI_five",6.24763501462713,5.3488023296368,-2.94453598141649,18.23504252334,14.6786733508753,41.1398910704263
"dem_10m_zaca",12.8230461651327,1.61499534709759,3.3215871019884,16.5056198778315,18.2013861379383,40.3971819900524
