"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.64077628528847,3.67016983781373,7.28297846210372,12.3124502970775,21.5460273804427
"tmax",4.61973055064539,0.982013935987445,14.9875461047835,13.4032778545471,20.1192924423412
"TPI_five",7.3255815509926,-2.06670651479241,13.7554478721076,11.8455997181518,26.5397917713935
"dem_10m_zaca",9.68998465919246,2.02748568697848,17.5016246836338,19.6437607913236,27.9802352260004
"flow_accumulation",13.3374304640848,4.41101545707359,7.97195502387541,15.9553356642502,25.7511499739221
"sr",8.51382399437935,-2.79007778756649,16.2711222549872,13.7510719704295,26.2230039383532
"slope",13.4678717900287,4.11402305225526,15.477686624623,19.4402481803021,30.2898242714043
"TWI",-1.03043478621852,3.73232601901067,6.04539477864994,5.53077684444749,20.3669154860069
"cwd",10.5262585138688,2.26887510691032,12.8509228042304,15.4838001532911,25.3262340851908
"vpd_aug",4.68027534602369,6.68349378426529,14.4795426373827,16.4590493312362,25.166954758279
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",8.53878235140891,4.65730260745273,9.69651372596704,14.2983272102399,22.6723880383832
"tmax",-1.46503132620466,5.1463875302274,13.6993658870662,11.0185829578167,19.6220056310676
"TPI_five",11.480004736764,-3.87207388829,17.3636614713224,14.5308682014499,29.9445205412051
"dem_10m_zaca",5.48681239595791,0.5408010371052,16.854833910202,14.6655744359783,24.6160569855814
"flow_accumulation",8.5939108748516,0.807764499654933,10.4385420127572,12.5086388821188,24.2102542045426
"sr",11.4774201583725,-2.17920927839804,19.6939460795486,18.281283394893,31.2531615381667
"slope",13.752752980167,2.1112987475873,18.5709886806316,21.6454514566904,30.3425363086277
"TWI",-1.0867546875551,3.0301438294193,6.21482009464707,5.17399792360087,19.9754754376157
"cwd",7.03217903661214,-2.32981858020526,11.9648781524244,10.0222564242942,23.086567844419
"vpd_aug",-1.99921330448763,8.124078030927,11.0460973028434,11.3674208712666,23.5782494703917
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.48351043359748,2.03862663148641,9.23017214124658,10.9776254116829,21.1156316596535
"tmax",6.50852347901951,4.37945065850882,19.2001273035917,18.0613667142432,22.9233230229706
"TPI_five",6.32466024390881,-4.40946464732524,11.7337850527621,8.37004189534785,25.0675719328301
"dem_10m_zaca",4.93127527237571,3.85590532073231,19.4648046231411,19.1972338002852,27.7793461193408
"flow_accumulation",7.5927836291733,-2.83743445225851,8.70365798259424,7.96313758362146,22.0850567233584
"sr",16.2771627396769,-1.18330605901296,18.322978737441,21.1801481470407,31.5270366300324
"slope",4.84089164091064,2.64099843228685,10.3955692585761,11.9071705902137,26.5609120706178
"TWI",-2.6340619172191,5.66354426133563,5.71428316243123,5.68525913516868,20.8605468520772
"cwd",4.64716973175613,4.56639814678089,14.5411826873842,15.0491730367579,26.2638543615345
"vpd_aug",-0.160985834547254,6.9752709268883,14.5970667554139,14.6154639945479,25.116517960919
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",8.24641041842893,1.94992369117204,5.8448498816549,9.98411050118009,18.4951436945833
"tmax",3.54865171846277,1.31010694424043,13.0661622050789,10.7694284836194,19.3346524848989
"TPI_five",10.9611892131619,-0.617700425909253,16.6863634668558,17.0483202954229,32.2172769026434
"dem_10m_zaca",4.62782457213985,-1.16004167259079,18.0494959057992,13.3183736876811,25.7217742816763
"flow_accumulation",12.3261639027329,-0.936713093785571,9.59563238002087,13.533816215396,25.2608041267999
"sr",9.48845132222807,-0.754184688681566,17.2404174149506,15.2828608797924,30.737090994184
"slope",11.6282567202966,2.50978077152845,15.3691091166208,17.4735311506634,29.381192857885
"TWI",-3.0184075162294,3.29129499454578,6.86543651430351,4.5324059358618,20.8132930521288
"cwd",5.53527298020106,1.41397183304089,10.8740128990488,10.7775440731054,23.4692931536422
"vpd_aug",2.06777570321802,6.54961039132869,11.2046872313595,12.4353531401185,23.9099904515586
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",10.1165981049853,4.33452443571474,8.1739872261573,14.0599027753929,19.7697473917464
"tmax",3.25281973334929,3.63348886628312,14.0789518939781,13.062745440498,19.0131710565415
"TPI_five",11.3781892457274,-4.1845079456095,16.1461772992226,14.4808906916552,27.8672628002454
"dem_10m_zaca",11.6901360177565,6.44910118420009,20.7731816358918,22.3407708555249,27.7930029847024
"flow_accumulation",13.104645963894,-1.25901397647307,8.08598265213657,13.643925567938,23.4753184513967
"sr",13.1191365696023,-2.02201331995556,17.8302924773912,17.683243437849,32.3120073872534
"slope",14.7666329561892,2.24730379320087,18.9489259573842,22.7589016945491,31.9819249795308
"TWI",-1.15962635413076,3.74524809066663,5.7746966746819,5.42587390537897,19.8722670510479
"cwd",6.17014542699523,4.22175520958362,11.3129729696179,13.5580892709089,22.9179003470647
"vpd_aug",3.24545592578126,10.8120051763911,13.5408488705487,18.09952352805,24.3493335504712
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.07732388057892,3.99297942383914,10.8670253817842,14.5793939041612,21.8941991309652
"tmax",1.51309823177719,4.71812039952914,16.5087609118142,14.3686022373334,21.021148291034
"TPI_five",7.01868573892281,-5.11053140238827,12.8089128159066,9.74707949819976,26.5650216696737
"dem_10m_zaca",7.29517731133598,0.969293836761193,20.015637236869,19.4805843734428,26.7404002963969
"flow_accumulation",7.74313538645251,2.55909701163861,8.30217115388965,11.4929639417578,23.32174027848
"sr",0.388011005050852,0.8171566296739,14.2227113600292,9.71140652174977,24.0716874911293
"slope",21.5110942969765,3.37339569348274,15.363726616519,23.9913302393502,31.5724835407777
"TWI",-4.44833303369253,0.439348562852367,7.6463117126261,2.60313464581797,20.2542535218305
"cwd",2.12240233736922,6.49500912329447,15.5450630869096,14.8012550443314,25.9815518429602
"vpd_aug",-0.478834533424058,12.050537173202,18.1486752064761,19.4115123456744,27.9366499367533
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
