"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.60264508067361,5.8610969732783,5.88937221834952,10.3757462409036,17.2414135885594
"tmax",2.9287150120251,5.65404551636827,9.73354167577672,12.030485807209,18.4721139729461
"TPI_five",11.877630181756,-2.5326544832801,8.85074593492591,11.8916005448921,25.1290069989955
"dem_10m_zaca",3.6490329356057,6.0314965712479,14.0649411671449,14.9932149580917,21.9149575668479
"flow_accumulation",11.7198285897586,1.22962245082739,9.78567618828897,13.6917045930554,24.1227647326169
"sr",6.58670517733136,-0.342766849701,14.1318155154375,13.6778459143367,25.1873311501232
"slope",14.9618918504823,2.37798339392288,14.7757093025714,18.8357243689406,30.1652984799525
"TWI",-0.651217984221144,3.27456279090261,5.28589895186869,4.96509067746288,17.4349143938314
"cwd",5.92963864370902,3.02714843558808,13.5061895324288,14.437534350847,22.4683799294101
"vpd_aug",1.34437641676157,8.56746451453942,12.0905462626643,14.8143646864313,22.5345116247533
"vpd_jan",9.04961681925765,3.72450087540497,16.3060370655521,17.1098622579972,24.7068542286303
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.45492679235209,2.27525934335135,4.18989452836195,8.45692068833468,17.5033186982967
"tmax",-0.457346322946553,0.663436888214666,10.6523120749364,7.17197898912873,16.7896488973454
"TPI_five",8.79965635052391,-4.42854836116646,11.8063091522302,10.1476214023658,28.8735565815141
"dem_10m_zaca",7.17376400653811,1.60875486770427,15.0478264000627,14.4688862032082,24.7814980259172
"flow_accumulation",13.0413962826582,0.711313062870731,7.53417345292862,12.8657013273368,24.3184231482089
"sr",7.91761723643863,-2.59163977953401,14.0370954381697,10.7893396272294,27.1892113207876
"slope",7.43433040502601,-1.9640313785272,11.0270951990805,10.2298844157445,25.2120219059297
"TWI",-2.49627671319997,0.906794759382196,3.19918456776638,1.39852374629678,18.6807349908807
"cwd",5.02445637542404,-0.184553640051092,9.69360014060875,8.85755885160354,21.6573511560696
"vpd_aug",1.57785383402362,4.11775366244055,9.43831390014601,10.0171448392172,21.2830648563681
"vpd_jan",5.86120846399811,-0.580523604023523,11.8694201695276,11.0697098711149,23.0396904186822
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",10.6726740121695,4.40151298502993,7.0694574108127,13.5543962567731,17.6365948546439
"tmax",2.73860695201871,3.38054726245249,15.0757943958834,13.1279273354919,18.8688499934395
"TPI_five",10.7135921446762,-5.75939287354494,14.2157992969166,12.7164829063786,27.9834554774451
"dem_10m_zaca",5.00363143552711,0.418592132379647,15.6337836327306,13.2744997993409,21.0263586014735
"flow_accumulation",13.4030923437533,-1.20017227528812,8.65411410216457,12.9483013516678,23.3916978481631
"sr",7.79641859113606,-2.98069921101509,14.9226769008243,11.6714978154694,24.2904916303971
"slope",16.2389244536679,-0.651819979672576,17.0901229622375,21.0825674445036,29.8645673815716
"TWI",0.454216362617313,-1.34825873188172,5.04669180222272,2.73726437371414,17.5222301419787
"cwd",3.10095594079856,4.72770746110841,12.3523410531668,12.2242516771201,22.8972865730049
"vpd_aug",0.479059223839418,6.53161821380767,15.0403423970189,14.2592214574057,22.7323069426927
"vpd_jan",9.19864252032055,-0.278854998318614,14.861585208081,14.99509905925,23.1373738885233
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",4.06387968657253,8.285788989253,6.28122256217894,10.9177701442082,18.0841347405959
"tmax",3.09404416707738,1.1124352227137,11.515410549886,9.6931252328611,17.3029825151433
"TPI_five",6.01807914984668,-1.40255652666591,11.6661767637018,9.89441453549795,23.3937052739189
"dem_10m_zaca",6.02394689469439,4.38594245978228,14.952195075454,15.9486312749967,23.5864223458031
"flow_accumulation",8.9197775926347,-2.4773938672142,5.42705332845501,7.64814440062572,20.3339680586903
"sr",3.90929210432103,-0.353646380164478,17.5251230011958,13.6107255095754,29.2801294508714
"slope",20.1984524575114,2.00327141060798,15.0853947354615,23.1413320604943,31.2316415720377
"TWI",-2.76722672767104,4.11727010944849,2.18214765165778,2.45061244970885,17.5763057611618
"cwd",3.86014032354722,3.34699065419916,10.8364264728519,10.9808812208616,21.3323641429148
"vpd_aug",4.63881687832755,6.93602844690036,14.9705854301855,16.2923085979555,22.9223618514283
"vpd_jan",12.0165800112626,-2.88488607667447,14.6770299763967,14.4899412840725,24.2862642874346
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",2.45590631871419,3.25533813550494,5.59569157245672,6.78280328731745,16.3373866273462
"tmax",-1.75155492461448,5.75056248395566,13.0214350529701,11.0760416911723,17.7823539841127
"TPI_five",12.9200762889697,-2.85395025471344,10.7634025239481,12.9086014343281,29.1417950289895
"dem_10m_zaca",5.72894807673732,1.75630614736387,14.8745694000915,14.989820519173,24.9158077754387
"flow_accumulation",14.7686356713384,-3.04806317113768,8.1426201037991,13.1788732486265,22.4486365244365
"sr",2.64332004731509,-0.150726412245621,12.9170955304776,10.4118329975568,23.9876471316759
"slope",7.79232313570988,2.68956794619772,11.9390085341441,13.0917512263631,26.4151415231031
"TWI",-0.101991626331082,1.17809252797661,3.28534520351971,2.76649148532956,18.1460674494558
"cwd",7.03480180936256,1.49468095563435,11.3652043953442,12.0886320680877,24.4913193715746
"vpd_aug",-2.83262014322417,6.57095553869208,9.07398236552733,9.55634900118587,21.5617357548424
"vpd_jan",8.43153210080168,0.974953687262206,11.7339578874844,12.8747216334804,24.0681621623581
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",3.99215956842285,4.06165490739603,5.84217360055593,8.10328345229651,17.7178170515409
"tmax",3.32769961000423,6.0614739161344,9.14619526326552,11.2619238001741,19.465704979686
"TPI_five",3.6702292849825,-3.2182659507623,12.3546025584946,7.58807580722722,23.8238350282885
"dem_10m_zaca",4.97994452886902,2.88623201307669,9.33946177088264,10.3786554982415,21.0245628118978
"flow_accumulation",11.1776715841384,-0.541168069211408,5.02664586860258,9.39889589930687,22.3814019525083
"sr",11.0550132410203,0.245031716302317,13.9153171117903,15.5882342171099,27.577231829566
"slope",15.4561811437096,2.50171273573497,13.461032170555,18.9002042573832,30.7211826921501
"TWI",-0.565141909744427,0.977403716121548,5.01212581312247,3.51009062999436,18.7863920448688
"cwd",11.4612822318941,6.21154155104713,13.8269385479192,17.577598580637,24.3952668195285
"vpd_aug",4.10934525568613,7.64846883147009,8.79554147229684,13.6193490968894,21.4676932065275
"vpd_jan",9.61956529612927,1.13304712724063,11.1131632177901,13.5676052433964,21.9414182501042
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.24312727625185,2.41236716573731,7.68899568689132,11.9483866256991,17.566172346696
"tmax",4.97856607849606,5.17176703606776,14.7066514577739,14.283887160633,18.5907015498974
"TPI_five",11.5080272696778,-1.81541819631708,16.1508723874584,15.8812359986358,28.2824384622206
"dem_10m_zaca",10.5640557510898,2.48907521417238,13.416225901397,15.8447979504409,22.9126388601954
"flow_accumulation",10.3172271921944,-0.902278549776611,9.33476047196272,11.2437119004426,22.591412675965
"sr",8.77639580278346,-0.345796999217827,15.2985402685658,15.3572222833157,25.0487247235301
"slope",12.5612897810002,3.15761525236897,18.3308170112189,20.1797821054063,30.3630332061782
"TWI",-0.968375147559542,0.955562272386193,3.77501966086572,2.41243144056041,17.9850110165064
"cwd",7.97700912992078,1.06773582765137,14.6446211212489,14.1747400373215,22.8280563428623
"vpd_aug",2.49563274104477,5.92580934389073,13.8883500167167,13.98742564871,22.2628168669339
"vpd_jan",8.98564252806238,0.14310538047832,14.8876214350468,14.9638930993652,20.8733806156812
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",8.05673188195513,4.21623730918671,7.4285746278936,12.6894920547855,19.0856207504197
"tmax",-0.417590016350792,6.64506742114406,12.4668834511815,11.9564938449497,17.5800364145812
"TPI_five",8.6797922783509,-1.80601311685006,10.9972158965964,10.5561905321182,26.5511273330637
"dem_10m_zaca",6.25258082924365,2.47528236182809,13.2716802427546,14.5239413648313,24.1654538088468
"flow_accumulation",9.76863642031986,-1.02776817442921,4.8598233717458,8.9091668786667,23.8193580118884
"sr",12.8864278991495,3.06141421908341,13.9275147642335,17.6630326364738,28.2042912125394
"slope",3.78202937004279,2.95562762814952,12.7406252219254,12.1371536288843,23.2255448938013
"TWI",0.355242302260248,1.9498384578192,4.9433467003975,4.21126426180809,18.7397265040217
"cwd",4.25444958044961,3.88013336067142,9.74927747402387,11.5569800502416,21.7033045416393
"vpd_aug",-1.09440694006922,8.36397827102041,10.6372580424241,12.6764561813239,21.8601556848946
"vpd_jan",11.0535175986259,2.36258431477727,14.1919426055008,16.5422627653916,24.4554741776372
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.38608995385139,2.94093947127098,7.01985514556163,10.4285177391179,17.0687174667779
"tmax",-1.94214219516832,4.15366894128597,13.1932118623047,9.26753577029994,16.9848004881259
"TPI_five",1.06758433405187,-4.8781651308634,10.6247669426757,4.33084229090305,20.9769318341255
"dem_10m_zaca",6.53912492725565,5.70469441830765,11.2293577491426,14.8577282534962,23.1847412564021
"flow_accumulation",15.8350630163684,-0.45504303760214,8.73332198465973,15.2651256563495,24.7210432900898
"sr",8.71328061171099,-0.930224995585792,20.4369647812618,17.145423296308,28.3449418973096
"slope",11.3465161260627,2.98520450160999,18.3034933031346,20.9237005921237,31.0877992967717
"TWI",-2.68178656378876,0.125993727535536,5.00159624926962,1.90649793959801,18.3102375147356
"cwd",3.2913394592272,1.27078553675456,7.03635678251252,7.18665420782747,18.9730812569981
"vpd_aug",0.811963373912219,11.086498614735,14.0415736916107,16.5864672685082,24.0656151217072
"vpd_jan",10.2039053521323,5.72387172507681,12.7529993444165,16.6286939153123,25.6354239102898
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",10.0740130184799,4.04945376410951,5.73515098100791,13.5201143079863,17.4788819023757
"tmax",3.52203861263831,5.24468037130788,9.80634570182676,11.4257087691492,17.382751245391
"TPI_five",13.763032631707,-6.08738998316511,12.9594996315455,13.1693557636251,28.2231458317538
"dem_10m_zaca",5.84280377274512,0.510033355419866,12.0506919108276,11.8320230207548,21.7832435674903
"flow_accumulation",13.6509838284517,-2.27235990019748,8.16140660199016,12.5710446663444,23.6036971817739
"sr",13.5066024133331,0.586710778032791,15.4867618151591,17.3420258146633,29.6390441580854
"slope",12.4971118762924,5.52286864904511,15.4674213931352,19.4748587457886,31.5927895474924
"TWI",-0.136149476747144,2.53762087933606,2.75341650960878,2.91318793158858,16.7587233574591
"cwd",4.10119663169204,1.95651473900147,8.34757530515781,8.37579858208063,19.8137718040186
"vpd_aug",-1.05502723824844,7.72840977960019,12.1077921228687,12.0963662852384,20.8465842944228
"vpd_jan",8.81684594203079,-2.70580875222911,12.1876212754133,11.513708916339,22.1880204430704
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",3.95744968831315,3.50444440992854,5.2583394808923,7.86243572798447,17.4079873296883
"tmax",1.70476878436456,2.79803962609953,11.5987827065245,10.1066253313581,16.9131133060887
"TPI_five",12.1303491661646,-0.703666967573728,16.7945865403403,18.1714977278358,30.6998725324468
"dem_10m_zaca",3.86306628183021,3.19401937403214,11.1506046291265,11.1884955121875,20.0922872075198
"flow_accumulation",15.4289955682438,-1.26393969118717,12.2992403399745,15.7696139856168,26.3486787743657
"sr",15.0036475723061,-1.9201409684785,12.4789920678819,15.8399228868547,28.1520644644357
"slope",13.834889386894,-1.00514938882847,9.82113308984862,14.1496733395027,25.0773203743095
"TWI",1.24346801925572,1.13810087259816,5.45235542818092,4.71244670166635,18.0508441940371
"cwd",5.1541269314135,4.04492750671873,11.1798931361329,12.8929717943084,21.6301324914499
"vpd_aug",2.10202205296316,8.12385545160817,10.2274554074778,13.1756932375116,21.6693765837432
"vpd_jan",6.36072119337665,-0.758648691130566,13.4363846960459,11.9210066352416,23.2216560752487
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.18306917894584,4.34286635842625,5.62718842372044,9.33069828342204,17.3252965738455
"tmax",-2.09821509886601,3.50260346578039,11.1621266478786,8.31962336752627,16.2150980980127
"TPI_five",8.92726140394565,-5.96707598915222,12.9666092268522,9.1269454183788,25.5994992985699
"dem_10m_zaca",9.55643615424684,-0.837183401404369,18.3836537801706,17.6040177320529,24.1920755748978
"flow_accumulation",17.4255820245154,-0.143164857451575,9.26079725219152,16.8012507965208,25.1825958067124
"sr",5.8038742030852,1.83755229894343,13.1971785147562,12.7625423163922,26.144835497123
"slope",15.6281503523117,4.48538013440065,17.2030008448288,21.7186155342903,31.4254244986407
"TWI",-2.87238759357834,1.17625955996881,6.18244156364915,3.58019447572297,18.5742616873387
"cwd",2.12557064056122,0.0115163631553396,8.41416536215381,6.69888727838472,18.2129250437466
"vpd_aug",1.63834692494436,10.1199601369711,13.5077597062566,15.9224231512409,23.2589649774379
"vpd_jan",7.67307391247663,2.09413989127651,14.1861621204499,14.807886752257,23.2415829436749
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",11.3426519224956,4.60286041039511,4.18701850209599,12.6487038863182,20.0554707675805
"tmax",3.90482069653672,5.20137977768694,9.05729638309564,11.0228967691446,17.1114593631539
"TPI_five",10.2053978757191,-1.74830704890408,11.0647511327546,11.4780803436933,25.7950867554181
"dem_10m_zaca",8.56826590019979,0.547566538631822,12.179204153248,13.5613800410195,21.8825767258522
"flow_accumulation",11.9446388468734,0.0192239192569557,9.92949025105235,13.4393426822046,25.7935692078719
"sr",5.65768672261484,2.92865024379762,12.6536763262692,12.5740910154283,23.5058220688641
"slope",12.7937931313368,3.32621587557031,16.3436191185919,19.1103862414901,28.5602165213101
"TWI",0.517253745050989,1.49184980768695,7.05205297748476,5.73676858957691,19.2857161732336
"cwd",8.29271166619087,0.15337159161611,7.59238549067298,9.72145962703038,21.5098812794892
"vpd_aug",3.87968880493604,8.00251411377225,9.13037298229993,13.9472493088395,21.0219906369355
"vpd_jan",13.4561295031476,-1.254935127857,14.9848552739209,16.6077121637553,24.7725838336241
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",2.97626272802844,5.45210847032335,5.74479603120661,8.69365501860749,17.0428946021339
"tmax",-2.70843333822211,5.80312796545591,12.8184129419579,10.5783326632715,16.4650157710743
"TPI_five",5.33678609671365,1.25675190875229,10.6801680504605,10.8456269321412,25.0642661980111
"dem_10m_zaca",3.45611525361709,2.44387984982593,17.6348772008836,15.7318608397462,24.8944964146809
"flow_accumulation",11.9731517513983,3.45172249843665,6.30333540105943,13.1380522639437,26.9603226761545
"sr",3.72948823589763,-0.411101443757087,14.1473173564134,12.762737788645,23.9490262813711
"slope",11.0761930822011,5.22387735953711,14.3263847676367,18.3042258995281,29.8916036947501
"TWI",-5.51950962134338,4.78797443801713,3.51435258903319,2.07132464042174,18.6262082772397
"cwd",3.19474502363802,-0.130417584383909,7.53366142755679,6.76029486318862,18.9763338735479
"vpd_aug",-3.73618161926249,14.3476077393548,14.1461475127714,16.8766922000354,24.5891874431553
"vpd_jan",7.82193849932556,1.08605981412399,15.5106563780705,14.7867988127537,22.9118181012146
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",4.08631712860518,7.29904209339414,5.36811749991111,10.7594469623939,17.3146459145191
"tmax",1.70802329701143,5.16730233275363,11.2532063734292,11.4822670525272,17.5896292938152
"TPI_five",9.66260790647464,0.760857248078883,10.1474318931629,12.2939909673905,29.3826411298743
"dem_10m_zaca",3.23669284606674,2.17959908290747,15.0954051493436,13.2892493194765,23.2027980187482
"flow_accumulation",11.4406208965795,2.74481747604426,5.78903416622295,11.4572125899483,22.4999415798988
"sr",7.89295971731829,0.203345080393817,12.2773793193662,12.207847705548,25.2062103998196
"slope",9.28825423009786,4.32020867769655,9.69373206964232,12.9431568729964,25.4095931817466
"TWI",-2.47308956944446,3.65983645206723,5.29897963482296,4.25073270477325,18.6025020424651
"cwd",2.30341735003366,0.354064720734339,7.90474296512603,6.58249440257217,20.606240388768
"vpd_aug",0.477093338001767,9.68825102775873,11.1076920565936,13.9555165176649,22.9901374486278
"vpd_jan",8.62624488933992,1.35014751559654,12.5343342807756,13.4760929270679,26.5179539350506
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",3.42207361763604,5.73592447103581,6.19967650649724,9.5310761942288,17.9066211313597
"tmax",1.88440367658693,3.30174874330596,11.1438485061065,10.7701632197583,15.6604999073559
"TPI_five",10.6866540859783,-2.8629874181495,12.9054256082278,11.9193272362912,28.6819825029784
"dem_10m_zaca",5.21113861043411,4.34348080794667,14.4624352841584,15.5379135430292,23.2279019670375
"flow_accumulation",14.3996092735962,-2.04503380178168,6.50795973036209,11.5537905446607,23.4776476394809
"sr",8.68358709454856,-4.30695727390946,14.6973924213954,12.1763536018743,27.2504946862508
"slope",13.2545727901453,3.25610245026935,16.0750689244846,18.2428999587391,29.9382874307899
"TWI",0.420640085800817,2.61560719366638,4.51078578970595,4.80551369451922,19.6865763067867
