OBJECTID,mortality,mortality_qualitative,other_mortality,drainage,ridge,prefire,postfire,Change in mortality,new_model_class,Shape_Area,shade_2000,shade_2001,shade_2002,shade_2003,shade_2004,shade_2005,shade_2006,shade_2008,shade_2009,shade_2010,shade_2011,shade_2013,shade_2014,shade_2015,shade_2016,shade_2017,shade_2018,SF_change_2008_2018,lower.2018.SF,min_2000_2006,>prefire min?,avg_2000_2006,max_2000_2006,2018>2000-2006min?,diff.btw.2018.and.2000.2006min,2018>2000-2006avg,diff.btw.2018.and.2000.2006avg,diff from canopy bin change mean,,,
81,75,High,Type Converted,Y,N,1_25,0,Complete,1,15975.01177,0.517159104,0.498875082,0.501743853,0.476343572,0.494793952,0.493895888,0.490820348,0.476478338,0.483192682,0.428130507,0.421042919,0.496577322,0.479146481,0.427865148,0.502198458,0.512616098,0.454767823,-0.021710515,TRUE,0.476343572,FALSE,0.496233114,0.517159104,FALSE,-0.021575749,FALSE,-0.041465291,-0.076317067,,,
408,75,High,Type Converted,Y,N,1_25,0,Complete,1,15449.99951,0.483725607,0.442529142,0.479302377,0.424788594,0.468118966,0.456423014,0.482369304,0.58933419,0.59165588,0.526063025,0.491271853,0.566628098,0.526607603,0.498715371,0.547700435,0.495184511,0.478298634,-0.111035556,TRUE,0.424788594,TRUE,0.462465286,0.483725607,TRUE,0.05351004,TRUE,0.015833348,-0.052786366,,,
415,75,High,Type Converted,N,N,1_25,0,Complete,1,25025.01007,0.5750494,0.552053809,0.573166609,0.540299773,0.583486617,0.547941506,0.574418426,0.623211861,0.648963451,0.571595967,0.558874011,0.646375656,0.609570742,0.56906426,0.612025619,0.60852927,0.569986761,-0.0532251,TRUE,0.540299773,TRUE,0.563773734,0.583486617,TRUE,0.029686988,TRUE,0.006213027,0.038901761,,,
433,75,High,Type Converted,N,Y,1_25,0,Complete,1,11349.99883,0.518808067,0.529991269,0.538244367,0.510585368,0.531656384,0.537998855,0.554751754,0.557676077,0.532158256,0.503115296,0.449132562,0.51169771,0.502461553,0.443306446,0.490930259,0.479077399,0.471975446,-0.085700631,TRUE,0.510585368,FALSE,0.531719438,0.554751754,FALSE,-0.038609922,FALSE,-0.059743992,-0.059109554,,,
439,75,High,Type Converted,Y,N,1_25,0,Complete,1,18550.00889,0.575485349,0.56051144,0.546772391,0.549650788,0.543981493,0.550186843,0.563690096,0.584257156,0.591775298,0.54677707,0.560087651,0.594358236,0.56840989,0.538659751,0.57525593,0.590051681,0.550192893,-0.034064263,TRUE,0.543981493,TRUE,0.555754057,0.575485349,TRUE,0.0062114,FALSE,-0.005561164,0.019107893,,,
441,75,High,Type Converted,N,N,1_25,0,Complete,1,8425.006049,0.589247793,0.586362243,0.583453387,0.564257741,0.572743982,0.568832695,0.597028136,0.605209291,0.618498653,0.54434076,0.548053861,0.58074227,0.549873114,0.513284534,0.547550023,0.554063261,0.525747389,-0.079461902,TRUE,0.564257741,FALSE,0.58027514,0.597028136,FALSE,-0.038510352,FALSE,-0.054527751,-0.005337611,,,
448,75,High,Type Converted,N,N,1_25,0,Complete,1,8999.996355,0.522143006,0.532146215,0.542052925,0.537983119,0.528255939,0.514574289,0.537207961,0.582968175,0.565281093,0.539742708,0.531614065,0.557914913,0.538246214,0.517462611,0.546289623,0.510702848,0.522601664,-0.060366511,TRUE,0.514574289,TRUE,0.530623351,0.542052925,TRUE,0.008027375,FALSE,-0.008021687,-0.008483336,,,
463,75,High,Type Converted,N,N,1_25,0,Complete,1,54625.01607,0.517710745,0.498696119,0.517910212,0.472721756,0.509574473,0.487933338,0.514522761,0.569166958,0.550796807,0.491210639,0.470165372,0.523040682,0.490065157,0.487055659,0.495208293,0.498880982,0.468923688,-0.10024327,TRUE,0.472721756,FALSE,0.502724201,0.517910212,FALSE,-0.003798068,FALSE,-0.033800513,-0.062161312,,,
473,75,High,Type Converted,Y,N,1_25,0,Complete,1,10450.00633,0.634940088,0.615707934,0.586638391,0.602802336,0.612813115,0.618945479,0.632940888,0.634237289,0.643621624,0.588341832,0.598306417,0.627071142,0.589452028,0.560933411,0.613773525,0.623806715,0.583636165,-0.050601124,TRUE,0.586638391,FALSE,0.614969747,0.634940088,FALSE,-0.003002226,FALSE,-0.031333582,0.052551165,,,
481,75,High,Type Converted,N,Y,1_25,0,Complete,1,10525.00133,0.544291317,0.504056185,0.524784386,0.487465411,0.518446207,0.519748956,0.523992598,0.61232996,0.634597778,0.586812705,0.565068573,0.607190132,0.581997216,0.519562125,0.586215943,0.567870349,0.531241179,-0.081088781,TRUE,0.487465411,TRUE,0.517540723,0.544291317,TRUE,0.043775768,TRUE,0.013700456,0.000156179,,,
487,75,High,Type Converted,N,N,1_25,0,Complete,1,34125.00945,0.529148459,0.497865975,0.51800096,0.480355263,0.510952115,0.495258391,0.519719958,0.579918027,0.583171368,0.545374513,0.536107063,0.579178512,0.549925089,0.504619122,0.561457217,0.547793746,0.521368265,-0.058549762,TRUE,0.480355263,TRUE,0.507328732,0.529148459,TRUE,0.041013002,TRUE,0.014039533,-0.009716735,,,
489,75,High,Type Converted,Y,N,1_25,0,Complete,1,9749.999118,0.601418495,0.567685962,0.560582221,0.560346365,0.583743036,0.577947974,0.5839324,0.662054062,0.656743288,0.61566323,0.629085183,0.661297083,0.624206424,0.563526273,0.628980756,0.631851494,0.590849161,-0.071204901,TRUE,0.560346365,TRUE,0.57652235,0.601418495,TRUE,0.030502796,TRUE,0.014326811,0.059764161,,,
502,75,High,Type Converted,N,Y,1_25,0,Complete,1,12674.99877,0.704960346,0.694667459,0.691400766,0.703361332,0.707147539,0.694516659,0.70931077,0.74764502,0.745413005,0.707151055,0.69587332,0.718735874,0.683922648,0.643536806,0.683630288,0.681144714,0.64386344,-0.10378158,TRUE,0.691400766,FALSE,0.70076641,0.70931077,FALSE,-0.047537326,FALSE,-0.05690297,0.11277844,,,
511,75,High,Type Converted,Y,N,1_25,0,Complete,1,10899.98992,0.561329156,0.524807394,0.535696268,0.510176033,0.538806409,0.536272287,0.553816855,0.611671776,0.629681379,0.578903079,0.562802196,0.614125013,0.572529346,0.530968547,0.574554503,0.567408413,0.531467617,-0.080204159,TRUE,0.510176033,TRUE,0.537272057,0.561329156,TRUE,0.021291584,FALSE,-0.00580444,0.000382617,,,
600,75,High,Type Converted,N,N,1_25,0,Complete,1,4119.897933,0.685298979,0.654857963,0.643815428,0.631682724,0.673303336,0.654411077,0.643832296,0.645674676,0.669794172,0.589536816,0.589365602,0.6604532,0.621914953,0.548851848,0.638245702,0.614182055,0.588847071,-0.056827605,TRUE,0.631682724,FALSE,0.655314543,0.685298979,FALSE,-0.042835653,FALSE,-0.066467472,0.057762071,,,
84,75,High,Type Converted,N,N,25_75,0,Complete,1,10425.00349,0.484952807,0.457238704,0.505581826,0.452797562,0.494960964,0.4478302,0.480084151,0.569559664,0.56806162,0.520565927,0.51108256,0.573573947,0.523105919,0.482611656,0.531750023,0.518159837,0.493606359,-0.075953305,TRUE,0.4478302,TRUE,0.474778031,0.505581826,TRUE,0.045776159,TRUE,0.018828328,-0.037478531,,,
88,75,High,Type Converted,N,Y,25_75,1_25,Low/Moderate,1,14149.9994,0.578035831,0.554076076,0.556030691,0.558701992,0.548471808,0.563153148,0.602542162,0.724503279,0.738306761,0.689474106,0.694468439,0.70946002,0.664871991,0.611164868,0.63071835,0.616844058,0.574394345,-0.150108934,TRUE,0.548471808,TRUE,0.565858815,0.602542162,TRUE,0.025922537,TRUE,0.00853553,-0.024911655,,,
95,75,High,Type Converted,N,Y,25_75,1_25,Low/Moderate,1,24750.00636,0.681942433,0.657606333,0.666979074,0.659881264,0.683467984,0.664194822,0.672483444,0.720124364,0.741355062,0.692665458,0.682964087,0.701933593,0.664173007,0.613119036,0.659662485,0.653696716,0.61800769,-0.102116674,TRUE,0.657606333,FALSE,0.669507908,0.683467984,FALSE,-0.039598643,FALSE,-0.051500218,0.01870169,,,
107,75,High,Type Converted,Y,N,25_75,0,Complete,1,5374.998429,0.695532084,0.673051119,0.655997574,0.664422512,0.682379007,0.671727359,0.688124418,0.741334081,0.748751402,0.679591477,0.620039344,0.681300998,0.639238954,0.594466269,0.660038233,0.635546207,0.601243734,-0.140090347,TRUE,0.655997574,FALSE,0.675890582,0.695532084,FALSE,-0.05475384,FALSE,-0.074646848,0.070158734,,,
109,75,High,Type Converted,N,N,25_75,0,Complete,1,18931.61047,0.812623322,0.771176875,0.743615627,0.782182515,0.773709774,0.785552442,0.790274739,0.795337558,0.823659897,0.766036689,0.760004222,0.786680043,0.741302013,0.650720835,0.751179218,0.733415961,0.688357115,-0.106980443,TRUE,0.743615627,FALSE,0.779876471,0.812623322,FALSE,-0.055258512,FALSE,-0.091519356,0.157272115,,,
124,75,High,Type Converted,N,N,25_75,1_25,Low/Moderate,1,10262.7669,0.675735891,0.657893419,0.637023628,0.647466898,0.65599364,0.651648283,0.646351099,0.679362893,0.698517859,0.644907236,0.67470777,0.681367636,0.648035109,0.622876763,0.658233702,0.67978853,0.629653573,-0.04970932,TRUE,0.637023628,FALSE,0.65315898,0.675735891,FALSE,-0.007370055,FALSE,-0.023505407,0.030347573,,,
146,75,High,Type Converted,Y,N,25_75,1_25,Low/Moderate,1,19650.00305,0.544694662,0.494449079,0.524426043,0.500058889,0.52933985,0.506503284,0.52500087,0.522599757,0.52712363,0.472064078,0.453271151,0.494090796,0.461971939,0.425911367,0.471400321,0.486409903,0.432784796,-0.089814961,TRUE,0.494449079,FALSE,0.517781811,0.544694662,FALSE,-0.061664283,FALSE,-0.084997015,-0.166521204,,,
259,75,High,Type Converted,N,N,25_75,1_25,Low/Moderate,1,5510.336839,0.671340823,0.648060322,0.654865324,0.648027778,0.675026,0.670457006,0.645741284,0.749293506,0.74881196,0.688524306,0.640446067,0.670202613,0.61150378,0.59710896,0.629770279,0.57465291,0.578943193,-0.170350313,TRUE,0.645741284,FALSE,0.659074077,0.675026,FALSE,-0.066798091,FALSE,-0.080130884,-0.020362807,,,
367,75,High,Type Converted,N,N,25_75,0,Complete,1,13525.00011,0.610545784,0.600821376,0.581653476,0.570986181,0.5729568,0.587486088,0.590941131,0.583376139,0.593247086,0.543967754,0.528428823,0.566615462,0.52659294,0.473199427,0.525528908,0.524674118,0.493831992,-0.089544147,TRUE,0.570986181,FALSE,0.587912977,0.610545784,FALSE,-0.077154189,FALSE,-0.094080985,-0.037253008,,,
400,75,High,Type Converted,N,N,25_75,0,Complete,1,11100.00055,0.698497027,0.67383191,0.670360923,0.683452129,0.681207478,0.661048442,0.680316925,0.716972977,0.706163704,0.620708913,0.56854254,0.623622745,0.588305175,0.572046876,0.587216794,0.533248782,0.523479074,-0.193493903,TRUE,0.661048442,FALSE,0.678387833,0.698497027,FALSE,-0.137569368,FALSE,-0.154908759,-0.007605926,,,
409,75,High,Type Converted,Y,N,25_75,1_25,Low/Moderate,1,8125.007772,0.525422692,0.521470487,0.528893471,0.504419863,0.531790555,0.518668443,0.520823091,0.603601366,0.606255323,0.583785266,0.564289927,0.611929119,0.560869396,0.489657223,0.552070707,0.559922427,0.523643434,-0.079957932,TRUE,0.504419863,TRUE,0.521641229,0.531790555,TRUE,0.019223571,TRUE,0.002002205,-0.075662566,,,
411,75,High,Type Converted,Y,N,25_75,0,Complete,1,11949.99789,0.534810334,0.534168869,0.54832378,0.513055503,0.538134336,0.51325354,0.538022429,0.63791889,0.642117828,0.586842448,0.581395596,0.617514014,0.568205535,0.523412406,0.57001248,0.56182605,0.535137057,-0.102781833,TRUE,0.513055503,TRUE,0.531395542,0.54832378,TRUE,0.022081554,TRUE,0.003741515,0.004052057,,,
413,75,High,Type Converted,N,Y,25_75,0,Complete,1,8975.00279,0.584191173,0.528800458,0.54133296,0.520876616,0.551288784,0.568609178,0.581698507,0.678764492,0.711157084,0.652841538,0.627619326,0.672442824,0.628409207,0.55752486,0.641906232,0.610936373,0.579378694,-0.099385798,TRUE,0.520876616,TRUE,0.553828239,0.584191173,TRUE,0.058502078,TRUE,0.025550455,0.048293694,,,
416,75,High,Type Converted,N,Y,25_75,1_25,Low/Moderate,1,6975.00473,0.668375343,0.628950298,0.643127382,0.64399296,0.672121435,0.667200178,0.663132042,0.667693198,0.714577168,0.663300723,0.673825353,0.710515618,0.681511819,0.612904131,0.672201693,0.665065229,0.636527717,-0.031165481,TRUE,0.628950298,TRUE,0.655271377,0.672121435,TRUE,0.007577419,FALSE,-0.01874366,0.037221717,,,
417,75,High,Type Converted,Y,N,25_75,1_25,Low/Moderate,1,41350.01092,0.553300381,0.538789153,0.55861479,0.522009492,0.546160698,0.517980933,0.538822472,0.596061826,0.609701097,0.549255848,0.539368868,0.58973968,0.557371616,0.528498769,0.550911963,0.561629057,0.524985194,-0.071076632,TRUE,0.517980933,TRUE,0.53938256,0.55861479,TRUE,0.007004261,FALSE,-0.014397366,-0.074320806,,,
431,75,High,Type Converted,N,N,25_75,1_25,Low/Moderate,1,14950.00192,0.54632479,0.515127301,0.52930373,0.498869181,0.527800441,0.510949969,0.527515888,0.539057851,0.537819505,0.462042987,0.463350832,0.515266538,0.479249537,0.466958284,0.50523293,0.524687886,0.496778667,-0.042279184,TRUE,0.498869181,FALSE,0.522270186,0.54632479,FALSE,-0.002090514,FALSE,-0.025491519,-0.102527333,,,
432,75,High,Type Converted,N,N,25_75,0,Complete,1,5225.002938,0.58438012,0.57491377,0.568356872,0.565159172,0.583796263,0.577031523,0.596834183,0.63664484,0.634160429,0.571804106,0.576739907,0.636817396,0.589670748,0.55436939,0.593103796,0.593758702,0.547862887,-0.088781953,TRUE,0.565159172,FALSE,0.578638843,0.596834183,FALSE,-0.017296285,FALSE,-0.030775956,0.016777887,,,
434,75,High,Type Converted,N,Y,25_75,0,Complete,1,8424.994163,0.527950197,0.494039834,0.512928665,0.48664853,0.505241185,0.519172966,0.530220807,0.574945658,0.576049834,0.531415224,0.500485122,0.55621317,0.54111436,0.489632726,0.53755939,0.528881967,0.520470142,-0.054475516,TRUE,0.48664853,TRUE,0.510886026,0.530220807,TRUE,0.033821612,TRUE,0.009584116,-0.010614858,,,
440,75,High,Type Converted,N,N,25_75,0,Complete,1,33858.65243,0.560936928,0.529293746,0.533018351,0.512371808,0.534183294,0.522207648,0.543162465,0.591075927,0.58720392,0.536331177,0.522588521,0.562449217,0.533755809,0.5109891,0.537181109,0.534117311,0.51027292,-0.080803007,TRUE,0.512371808,FALSE,0.53359632,0.560936928,FALSE,-0.002098888,FALSE,-0.0233234,-0.02081208,,,
