OBJECTID *,FID,prefire,postfire,centroid_l,Shape_Leng,Shape_Area,random_sor,Change_in,OBJECTID_1,MEAN,mortality_qualitative,
1,0,25_75,1_25,"34.6906319327479, -119.658994826856",799.998438,14400.0139,0.346516,Low Mortality,1,1962.837057,High,
4,3,25_75,25_75,"34.6904370967104, -119.589034421761",410.000419,4350.003347,0.665683,No Change,4,1896.20807,None,
5,4,1_25,1_25,"34.6904392028777, -119.587874897731",939.999446,13925.00502,0.43555,No Change,5,1782.884276,None,
6,5,25_75,25_75,"34.6914077055633, -119.586840952132",1559.999775,22949.99937,0.326492,No Change,6,1732.725116,None,
7,6,25_75,1_25,"34.6909586632101, -119.661205024263",730.000735,16374.99745,0.716125,Low Mortality,7,1966.613299,Moderate,
9,8,1_25,1_25,"34.6896186748571, -119.659136635012",700.000333,12149.99165,0.795818,No Change,9,1964.267268,Low,
10,9,25_75,25_75,"34.689591992461, -119.586857738119",420.00012,5349.998639,0.105417,No Change,10,1812.610886,Moderate,
11,10,25_75,25_75,"34.7044889375906, -119.784339503737",1070.002351,17125.01083,0.24664,No Change,11,1710.628009,None,
12,11,25_75,25_75,"34.712638794701, -119.811424340329",529.999525,7699.993627,0.785127,No Change,12,1984.207199,None,
13,12,25_75,25_75,"34.7083015943567, -119.792749359305",729.999135,13275.00671,0.493498,No Change,13,1797.030802,None,
14,13,25_75,1_25,"34.7097496318246, -119.790161167142",519.999525,9225.004193,0.400691,Low Mortality,14,1758.403682,Moderate,
15,14,25_75,25_75,"34.7083283686221, -119.79014328394",789.999638,12124.99629,0.978724,No Change,15,1757.682327,None,
16,15,1_25,1_25,"34.7196483427336, -119.78640511429",1270.000061,18825.00854,0.859376,No Change,16,1630.083592,None,
17,16,25_75,25_75,"34.709313202152, -119.784254048407",460.000722,6950.00966,0.768863,No Change,17,1760.651469,None,
18,17,75_100,75_100,"34.7094907716251, -119.787603520439",1060.000051,16150.00877,0.344595,No Change,18,1789.835816,None,
19,18,25_75,25_75,"34.7097669889079, -119.789318371543",1020.000449,18850.00962,0.257014,No Change,19,1752.213296,Moderate,
20,19,75_100,75_100,"34.7138685557683, -119.808914331384",520.001125,8100.006269,0.652975,No Change,20,1950.471185,None,
